Project,Project_Short,Project_Area,DST_Area,Team,Language_Main,Language_Others,Language_Frameworks,Hosted,Messaging_Type,Containers,Architectures,Source_Control,Branching_Strategy,Repo,Testing_Frameworks,Static_Analysis,Code_Formatter,Package_Manager,Security_Tools,CICD,CICD_Orchestration,IaC,Monitoring,Datastores,Database_Technologies,Data_Output_Formats,Business_Dashboards,Integrations_ONS,Integrations_External,IAM_Services,Cloud_Services,Datasets_Used,Project_Tools,Other_Tools,Documentation
Survey Data Exchange,SDX,,Collection Ingestion,,Python,Python;VB6,,GCP,PubSub,,,GitLab,,,,,,,,Concourse,Kubernetes,,GCP Stackdriver,,,pck;csv;jpeg;xlsx;json;dat,,,,,GCP Cloud Datastore;GCP Cloud Storage;GCP Cloud Functions,,,,https://confluence.ons.gov.uk/display/SDX/SDX+Home
Electronic Questionnaire,EQ,,Collection Ingestion,,Python,,,GCP,,Docker,,Github,,https://github.com/ONSdigital/eq-questionnaire-runner#readme�,Selenium;webdriver.io,,,,,GCP Cloud Run;Concourse,Kubernetes,Terraform,Grafana,Redis;GCP Datastore,NoSQL,,,EQ Author;Responded Account Service;SDX,Slack,,GCP Cloud Run;GCP Bucket;GCP Cloud Task;GCP Cloud Functions;GCP Datastore;GCP DataFlow,,,,https://confluence.ons.gov.uk/display/SDC/00.+eQ+Overview
Blaise 5 Infrastructure,,,Collection Ingestion,,C#,Javascript;Go;Python,.NET API;React;NodeJS,GCP,PubSub,,,Github,Environment,,Selenium,,,,,Concourse;Azure DevOps,,Terraform,,GCP Datastore,MySQL;SQLLite,,,Blaise5;Blaise4;Nisra;NIFI,,,GCP App Engine;GCP Cloud Functions;GCP Datastore,Labour Market Survey;National Wales Survey;Airport Survey;Wealth and Assets Survey;Cost of Living Survey,,nginx,
Survey Response Management,SRM,,Collection Ingestion,,Python,Java;Go,aioHTTP;Python Flask,GCP,PubSub,,Microservice,,,,,,,,KMS,Concourse,,Terraform,,,,,,Electronic Questionnaire;EQ Author,,,GCP Artifact Registry;GCP API Gateway,,,,https://confluence.ons.gov.uk/display/SDC/SRM
Respondent Account Service,RASRM,,Collection Ingestion,,Python,Java;Go,Python Flask,GCP,PubSub,,Microservice,Github,,,,,,,KMS,Concourse;Spinnaker;Jenkins,,Terraform,Splunk,Postgres;GCP Datastore,,,,,,,GCP Container Registry;,,Trello;Confluence,,https://confluence.ons.gov.uk/x/aZ8TAg
VB6 120 Support,,Social Surveys,Collection Ingestion,,VB6,C#,Python Flask,,,,,MS Sourcesafe,,,,,,,,Jenkins,,,,,MySQL,,,,,,,,,,
Statistical Production Platform Data Clearing,SPP,,Processing and Data Management,,Python,Go;Java,Python Flask;Spring,AWS,GraphQL API,,Microservice,Github,,,,,Black,,KMS,Concourse,,Terraform,,Postgres,,,,,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform
Statistical Production Platform Contributor Management,SPP,,Processing and Data Management,,Python,,,AWS,,,Microservice,Github,,,,,Black,,KMS,Concourse,,Terraform,,,,,,IBM BAW,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform
Statistical Production Platform Results,SPP,,Processing and Data Management,,Python,,pySpark,AWS,,,Microservice,Github,,,,,Black,,KMS,Concourse,,Terraform,,Postgres,,,,,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform
Statistical Production Platform Shared Services,SPP,,Processing and Data Management,,Python,,,AWS,,,Serverless,Github,,,,,Black,,KMS,Concourse,,Terraform,AWS Cloudwatch,DynamoDB,,,,,Slack,AWS Cognito,AWS Cognito,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform
Clerical Matching Solution,CMS,,Processing and Data Management,,Typescript,Scala;Groovy;Shell Script,React;NodeJS;Axios;Stitches;ExpressJS;Morgan;styled-components;Moment;lodash;jsonwebtoken;dotenv;yup,On Prem,API,Docker,Microservice,Github,Feature,https://github.com/ONSdigital/census-clerical-matching,Cypress;Jest,ESLint,Prettier,npm,,Jenkins,,Ansible,Splunk,Redis;HBase;Solr,Spark,csv,Splunk,,Splunk,Kerberos,,Census;Census Coverage Survey;English Schools Census;Welsh Schools Census;Higher Education Statistics Authority Survey;Patient Demographic Service,Jira;Confluence,HUE;Oozie Workflows,https://confluence.ons.gov.uk/display/CM/Clerical+Matching
DAP Census Processing Delivery,DCPD,,Processing and Data Management,,Python,,,,,,,GitLab,Feature,,,,,,,None,,,,,,,,,,,,,,Cloudera Data Science Workbench,
Common ONS Repository of Data,CORD,,Processing and Data Management,,Java,SAS;Python;R;C++,,,,,,,,,,,,,,Jenkins,,,,MongoDB;Oracle,PLSQL,,,Digital Publishing;SPP,,,,,,Oracle Weblogic,
Common Architecture for Statistical Processing and Analysis,CASPA,,Processing and Data Management,,Java,,Spring,,,,,GitLab,,,,,,,,,,,,Oracle,,,,Survey Data Collection,,MS Active Directory,,International Migrations Survey;Labour Force Survey,,Oracle Weblogic,
Statistical Analysis System,SAS,,Processing and Data Management,,SAS,SAS;Java;HTML;C#,,AWS,,,,,,,,,,,,,,,,Oracle,,,,,,,,,,,
Life Event Continuity,LEC,,Processing and Data Management,,Java,,,AWS,,,,GitLab,,,,,,,,,,,,Oracle,,,,,,,,,,Oracle Weblogic,
Life Event Data Repository,LEDR,,Processing and Data Management,,Java,,,AWS,,,,,,,JMeter,,,,,Jenkins,,,,,,,,,,,,Births and Deaths Register,,Talend,
Address Index Matching Service,AIMS,,Processing and Data Management,,Scala,Java;Python;Javascript,Spring;Python Flask;,GCP,,Docker,,Github,,�https://github.com/ONSdigital/address-index-api/tree/develop/api-definitions/explore-the-api,,,,,,,Kubernetes,Terraform,,,Spark,,,,,,GCP Cloud Functions;GCP Dataproc,,Confluence,Elasticsearch,https://confluence.ons.gov.uk/display/AIMS/Address+Index+Matching+Service+Home
Collections,,,Processing and Data Management,,,4GL;ABF;C;Shell Script,,,,,,Github,,,,,,,,,,,,Ingres,SQL;Spark,,Splunk,,Splunk,,,,,OpenROAD,
BSP,BSP,,Corporate IT and Services,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Power Automate,
